gene,Fish_kME
isogroup12106,0.73783246544202
isogroup12108,0
isogroup12109,0
isogroup1211,0
isogroup12113,0
isogroup12114,0.820638673526948
isogroup12115,0
isogroup12116,0
isogroup12118,0
isogroup1212,0.653405212617507
isogroup12120,0
isogroup12122,0
isogroup1213,0
isogroup12135,0
isogroup12138,0
isogroup12142,0
isogroup12143,0
isogroup12146,0.421397832038183
isogroup12147,0
isogroup12148,0
isogroup12150,0
isogroup12154,0
isogroup12155,0
isogroup12156,0
isogroup12157,0
isogroup1216,0
isogroup12160,0
isogroup12161,0
isogroup12167,0
isogroup12168,0
isogroup1217,0
isogroup12172,0
isogroup12173,0
isogroup12174,0
isogroup12175,0
isogroup12176,0
isogroup1218,0.635290586524643
isogroup12182,0
isogroup12188,0
isogroup1219,0.571274849965539
isogroup12190,0
isogroup12192,0
isogroup12193,0
isogroup12194,0
isogroup12195,0
isogroup12199,0
isogroup1220,0
isogroup12204,0
isogroup12206,0
isogroup12208,0
isogroup12209,0
isogroup1221,0
isogroup12210,0
isogroup12216,0
isogroup12217,0
isogroup1222,0
isogroup12220,0
isogroup12221,0
isogroup12224,0
isogroup12226,0
isogroup1223,0
isogroup12231,0
isogroup12232,0
isogroup12237,0.193729267154827
isogroup1224,0
isogroup12240,0
isogroup12250,0
isogroup12251,0
isogroup12252,0
isogroup12254,0
isogroup12257,0
isogroup12258,0
isogroup12259,0
isogroup1226,0.843944373144589
isogroup12260,0
isogroup12261,0
isogroup12264,0
isogroup12269,0.236199871416493
isogroup1227,0.814612302946892
isogroup12270,0
isogroup12272,0
isogroup12279,0
isogroup1228,0.47459315977492
isogroup12284,0
isogroup12285,0.327327172553901
isogroup12286,0
isogroup1229,0.531051037811909
isogroup12291,0
isogroup12292,0
isogroup12297,0
isogroup123,0.887155443965678
isogroup12303,0
isogroup12304,0
isogroup12307,0
isogroup12309,0
isogroup1231,0.139336696217424
isogroup12311,0
isogroup12312,0
isogroup12314,0
isogroup12317,0
isogroup12318,0.585685339646479
isogroup1232,0.589582473664355
isogroup12320,0
isogroup12322,0
isogroup12323,0
isogroup12326,0
isogroup12327,0
isogroup12330,0
isogroup12331,0
isogroup12337,0
isogroup1234,0.592196846777006
isogroup12341,0
isogroup12343,0
isogroup12346,0
isogroup12348,0
isogroup12352,0.453128497848076
isogroup12353,0
isogroup12355,0
isogroup1236,0
isogroup12361,0
isogroup12368,0
isogroup12369,0
isogroup1237,0
isogroup12372,0
isogroup12374,0
isogroup12377,0
isogroup1238,0
isogroup12386,0
isogroup12395,0
isogroup12399,0
isogroup124,0.691600049885346
isogroup1240,0.739187334826862
isogroup12400,0
isogroup1241,0
isogroup12411,0.664104607330329
isogroup12412,0
isogroup12416,0
isogroup12418,0
isogroup12419,0.352382019597493
isogroup1242,0.548341203005801
isogroup12420,0
isogroup12421,0
isogroup12421.1,0
isogroup12427,0
isogroup12433,0
isogroup12435,0
isogroup12437,0
isogroup12439,0
isogroup1244,0
isogroup12445,0
isogroup12446,0
isogroup12449,0
isogroup1245,0.65244364947753
isogroup12451,0
isogroup12452,0
isogroup12455,0
isogroup12458,0
isogroup12459,0
isogroup1246,0
isogroup12461,0
isogroup12468,0
isogroup12469,0
isogroup12470,0
isogroup12473,0
isogroup12479,0
isogroup1248,0
isogroup12483,0.352791783331274
isogroup12484,0
isogroup12486,0
isogroup12493,0
isogroup12495,0
isogroup12496,0
isogroup12497,0
isogroup125,0.662515180763507
isogroup1250,0.716750270689812
isogroup12501,0
isogroup12506,0
isogroup12507,0.551832093352869
isogroup1251,0.564948465920791
isogroup12519,0
isogroup1252,0
isogroup12521,0
isogroup12523,0
isogroup12526,0
isogroup12529,0
isogroup1253,0.866434201115004
isogroup12530,0
isogroup12531,0
isogroup12533,0
isogroup12534,0
isogroup12536,0
isogroup12539,0
isogroup12541,0
isogroup12542,0
isogroup12543,0
isogroup12546,0
isogroup1255,0
isogroup12551,0
isogroup12552,0
isogroup12555,0
isogroup12558,0
isogroup1256,0
isogroup12571,0
isogroup12572,0
isogroup12573,0
isogroup12575,0
isogroup12576.1,0
isogroup12578,0
isogroup12585,0
isogroup12588,0
isogroup1259,0
isogroup12590,0
isogroup12593,0
isogroup12594,0
isogroup12596,0
isogroup126,0
isogroup1260,0
isogroup12601,0
isogroup12604,0.514754982089996
isogroup12605,0
isogroup12608,0
isogroup12610,0
isogroup12611,0.391988459064105
isogroup12613,0
isogroup12614,0
isogroup12617,0
isogroup12619,0
isogroup12624,0
isogroup12626,0.630485447267467
isogroup12627,0
isogroup12634,0
isogroup12635,0
isogroup12637,0
isogroup12640,0
isogroup12648,0
isogroup12651,0
isogroup12654,0.389928261874473
isogroup12655,0
isogroup12656,0
isogroup12659,0
isogroup1266,0.377234268835719
isogroup12661,0
isogroup12662,0
isogroup12663,0
isogroup12664,0
isogroup12667,0
isogroup1267,0.658116444056157
isogroup12671,0
isogroup12673,0
isogroup12676,0
isogroup12677,0.374886624699646
isogroup12679,0
isogroup1268,0.753512181013981
isogroup12688,0
isogroup12689,0
isogroup1269,0.790670113829806
isogroup12690,0
isogroup12693,0
isogroup12694,0.647701648563896
isogroup12695,0
isogroup12699,0
isogroup127,0
isogroup1270,0
isogroup12701,0
isogroup12704,0
isogroup1271,0
isogroup12710,0.514644101435216
isogroup12711,0
isogroup12719,0
isogroup12721,0
isogroup12723,0
isogroup12726,0
isogroup12727,0
isogroup12730,0.298609573131266
isogroup12731,0
isogroup12732,0
isogroup12733,0
