gene,logP
isogroup10639,-0.7
isogroup1064,-2.3
isogroup10640,-10
isogroup10641,0.7
isogroup10642,-1.3
isogroup10643,0.5
isogroup10644,-5.4
isogroup10645,10
isogroup10647,1.4
isogroup10648,-1.9
isogroup10649,0.1
isogroup1065,0.1
isogroup10650,4.7
isogroup10652,0.7
isogroup10654,0.1
isogroup10655,-1.1
isogroup10656,-0.8
isogroup10657,0.3
isogroup10658,1.2
isogroup10659,-0.6
isogroup1066,0.1
isogroup10660,-2.1
isogroup10661,0.5
isogroup10662,1.2
isogroup10663,-1.6
isogroup10664,-0.4
isogroup10665,-0.2
isogroup10666,1.7
isogroup10667,-0.2
isogroup10668,-0.3
isogroup10669,0.7
isogroup1067,2
isogroup10670,-0.1
isogroup10671,1.4
isogroup10672,0.2
isogroup10674,-2.6
isogroup10675,-10
isogroup10677,1
isogroup10678,0.3
isogroup10679,2.1
isogroup1068,0.3
isogroup10680,0
isogroup10681,-7.6
isogroup10682,0.9
isogroup10683,-0.1
isogroup10684,1.6
isogroup10685,0.2
isogroup10686,-0.2
isogroup10687,-5.9
isogroup10688,0.1
isogroup10689,0.9
isogroup1069,-0.3
isogroup10690,-0.3
isogroup10691,-0.8
isogroup10692,-3.4
isogroup10693,-0.2
isogroup10694,-2
isogroup10695,0
isogroup10697,0.1
isogroup10698,1.3
isogroup10699,1.1
isogroup107,-0.9
isogroup1070,3.3
isogroup10701,0.3
isogroup10702,1
isogroup10703,-0.8
isogroup10704,-0.8
isogroup10705,0.1
isogroup10706,-0.4
isogroup10708,0.3
isogroup10709,-3.9
isogroup1071,2.3
isogroup10710,-5.3
isogroup10711,-2.3
isogroup10712,0.2
isogroup10713,-4
isogroup10714,-8.8
isogroup10716,-0.2
isogroup10717,0.6
isogroup10718,0
isogroup10719,-3.2
isogroup1072,-1.7
isogroup10720,-0.9
isogroup10721,0.3
isogroup10722,-0.4
isogroup10723,0.2
isogroup10724,0.3
isogroup10725,1.7
isogroup10726,-1.7
isogroup10727,-8.7
isogroup10728,-8.3
isogroup10729,-0.9
isogroup1073,2.5
isogroup10730,0.3
isogroup10731,0.1
isogroup10732,-0.4
isogroup10733,-9.9
isogroup10734,-0.7
isogroup10735,0.9
isogroup10736,-3.1
isogroup10738,0.5
isogroup10739,-0.1
isogroup1074,0
isogroup10740,-0.2
isogroup10741,-2.3
isogroup10743,0.1
isogroup10744,-2
isogroup10745,0.4
isogroup10746,-0.8
isogroup10747,0.9
isogroup10749,2.7
isogroup1075,-1.7
isogroup10750,0.7
isogroup10751,-0.2
isogroup10752,0.3
isogroup10753,-1.6
isogroup10755,-0.8
isogroup10757,-1.8
isogroup10758,-0.1
isogroup10759,-1.2
isogroup1076,0.9
isogroup10760,-0.1
isogroup10761,0
isogroup10762,-2.1
isogroup10763,2.1
isogroup10764,3.3
isogroup10765,0.6
isogroup10766,-1.3
isogroup10767,-0.2
isogroup10768,-0.2
