gene,lp
isogroup10741,0.44
isogroup10743,0.53
isogroup10744,0.05
isogroup10745,0.19
isogroup10746,2.35
isogroup10747,2.17
isogroup10748,1.22
isogroup10749,-0.02
isogroup1075,0.75
isogroup10750,0.17
isogroup10751,-0.54
isogroup10752,-0.86
isogroup10753,0.04
isogroup10755,0.97
isogroup10756,-0.27
isogroup10757,1.03
isogroup10758,-0.27
isogroup10759,-1.54
isogroup1076,0.42
isogroup10760,-0.14
isogroup10761,2.41
isogroup10762,0.69
isogroup10763,0.01
isogroup10764,-0.68
isogroup10765,-1.2
isogroup10766,0.78
isogroup10767,0.61
isogroup10768,0.41
isogroup1077,-0.01
isogroup10770,0.07
isogroup10771,-0.35
isogroup10772,-0.01
isogroup10773,2.75
isogroup10774,0.53
isogroup10775,0.17
isogroup10776,1.04
isogroup10777,-0.05
isogroup10778,-2.39
isogroup10779,-0.04
isogroup1078,0
isogroup10780,0.44
isogroup10781,1.94
isogroup10782,-0.17
isogroup10783,-0.57
isogroup10784,0.26
isogroup10785,-1.17
isogroup10786,0
isogroup10787,-0.15
isogroup10788,0.01
isogroup10789,0.38
isogroup1079,0.02
isogroup10790,0.56
isogroup10791,0.24
isogroup10792,0.99
isogroup10793,-0.11
isogroup10794,0.1
isogroup10795,-0.81
isogroup10796,0.02
isogroup10797,0.07
isogroup10798,0.32
isogroup10799,0
isogroup108,-0.16
isogroup1080,1.58
isogroup10800,-0.81
isogroup10801,0.99
isogroup10802,0.16
isogroup10803,0.15
isogroup10804,2.12
isogroup10805,-0.46
isogroup10806,-0.04
isogroup10807,0.91
isogroup10808,-0.14
isogroup10809,-2.5
isogroup1081,-1.07
isogroup10810,-1.37
isogroup10811,-0.32
isogroup10812,3.11
isogroup10813,1.68
isogroup10814,-0.92
isogroup10815,-0.21
isogroup10816,-0.31
isogroup10817,-1.48
isogroup10818,-4.58
isogroup10819,-0.12
isogroup1082,0.14
isogroup10820,0.21
isogroup10821,-0.46
isogroup10822,0.46
isogroup10823,0.62
isogroup10824,0.32
isogroup10825,0.07
isogroup10826,0.61
isogroup10827,0.27
isogroup10828,0.59
isogroup10829,0.7
isogroup1083,-0.25
isogroup10830,0.65
isogroup10831,-1.77
isogroup10832,1.69
isogroup10833,0.64
isogroup10834,1.86
isogroup10835,3.56
isogroup10837,-1.62
isogroup10838,-2.71
isogroup10839,1.71
isogroup1084,0.32
isogroup10840,3.29
isogroup10841,0.05
isogroup10842,1.02
isogroup10843,0.29
isogroup10844,0.42
isogroup10845,-0.02
isogroup10846,-0.18
isogroup10847,0.58
isogroup10848,3.46
isogroup10849,0.83
isogroup1085,0.34
isogroup10850,-1
isogroup10851,-0.36
isogroup10852,0.15
isogroup10853,0.07
isogroup10854,3.48
isogroup10855,-0.97
isogroup10856,-0.37
isogroup10857,3.41
isogroup10858,0.09
isogroup10859,0.47
isogroup1086,-0.63
isogroup10860,-0.51
isogroup10861,-0.46
isogroup10862,1.02
isogroup10864,-0.14
isogroup10865,0.11
isogroup10866,-0.1
isogroup10867,0.01
isogroup10868,-0.39
isogroup10869,0.05
isogroup1087,-2.03
isogroup10870,0.79
isogroup10871,0.06
isogroup10872,1.7
isogroup10873,1.33
isogroup10874,0.17
isogroup10875,0.94
isogroup10876,0.02
isogroup10877,-0.6
isogroup10878,1.71
isogroup10879,0.73
isogroup1088,-1.1
isogroup10880,-0.37
isogroup10881,0.41
isogroup10882,1.33
isogroup10883,0.37
isogroup10884,-1.22
isogroup10885,1.1
isogroup10886,0.99
isogroup10887,1.32
isogroup10888,-0.84
isogroup10889,-2.87
isogroup1089,-1.89
isogroup10890,0.03
isogroup10891,0.89
isogroup10892,-0.06
isogroup10893,-0.44
isogroup10894,-0.58
isogroup10895,-0.38
isogroup10896,-2.11
isogroup10897,0.16
isogroup10898,0.03
isogroup109,-0.87
isogroup1090,-0.51
isogroup10900,2.4
isogroup10901,0.51
isogroup10902,-0.09
isogroup10903,-0.04
isogroup10904,-0.46
isogroup10905,1.15
isogroup10906,0
isogroup10907,1.77
isogroup10908,1.67
isogroup10909,0.18
isogroup1091,-1.31
isogroup10910,-0.32
isogroup10911,-3.25
isogroup10912,0.28
isogroup10913,-2.22
isogroup10914,-0.21
isogroup10915,0.86
isogroup10916,0.44
isogroup10918,1.47
isogroup10919,-0.03
isogroup1092,-1
isogroup10920,1.62
isogroup10921,-0.43
isogroup10922,-0.74
isogroup10923,-0.14
isogroup10924,-0.02
isogroup10925,-0.08
isogroup10926,0.72
isogroup10927,-0.13
isogroup10928,0.14
isogroup10929,-0.27
isogroup1093,-0.58
isogroup10930,-0.02
isogroup10931,-0.81
isogroup10932,-0.82
isogroup10933,-0.06
isogroup10934,0.89
isogroup10935,0.09
isogroup10936,-1.06
isogroup10937,0.19
isogroup10938,-6.73
